Date,Prefecture,Newly confirmed cases,1
2020/01/16,ALL,13,1
2020/01/16,Hokkaido,13,1
2020/01/16,Aomori,13,1
2020/01/16,Iwate,13,1
2020/01/16,Miyagi,13,1
2020/01/16,Akita,13,1
2020/01/16,Yamagata,13,1
2020/01/16,Fukushima,13,1
2020/01/16,Ibaraki,13,1
2020/01/16,Tochigi,13,1
2020/01/16,Gunma,13,1
2020/01/16,Saitama,13,1
2020/01/16,Chiba,13,1
2020/01/16,Tokyo,13,1
2020/01/16,Kanagawa,13,1
2020/01/16,Niigata,13,1
2020/01/16,Toyama,13,1
2020/01/16,Ishikawa,13,1
2020/01/16,Fukui,13,1
2020/01/16,Yamanashi,13,1
2020/01/16,Nagano,13,1
2020/01/16,Gifu,13,1
2020/01/16,Shizuoka,13,1
2020/01/16,Aichi,13,1
2020/01/16,Mie,13,1
2020/01/16,Shiga,13,1
2020/01/16,Kyoto,13,1
2020/01/16,Osaka,13,1
2020/01/16,Hyogo,13,1
2020/01/16,Nara,13,1
2020/01/16,Wakayama,13,1
2020/01/16,Tottori,13,1
2020/01/16,Shimane,13,1
2020/01/16,Okayama,13,1
2020/01/16,Hiroshima,13,1
2020/01/16,Yamaguchi,13,1
2020/01/16,Tokushima,13,1
2020/01/16,Kagawa,13,1
2020/01/16,Ehime,13,1
2020/01/16,Kochi,13,1
2020/01/16,Fukuoka,13,1
2020/01/16,Saga,13,1
2020/01/16,Nagasaki,13,1
2020/01/16,Kumamoto,13,1
2020/01/16,Oita,13,1
2020/01/16,Miyazaki,13,1
2020/01/16,Kagoshima,13,1
2020/01/16,Okinawa,13,1
2020/01/17,ALL,13,1
2020/01/17,Hokkaido,13,1
2020/01/17,Aomori,13,1
2020/01/17,Iwate,13,1
2020/01/17,Miyagi,13,1
2020/01/17,Akita,13,1
2020/01/17,Yamagata,13,1
2020/01/17,Fukushima,13,1
2020/01/17,Ibaraki,13,1
2020/01/17,Tochigi,13,1
2020/01/17,Gunma,13,1
2020/01/17,Saitama,13,1
2020/01/17,Chiba,13,1
2020/01/17,Tokyo,13,1
2020/01/17,Kanagawa,13,1
2020/01/17,Niigata,13,1
2020/01/17,Toyama,13,1
2020/01/17,Ishikawa,13,1
2020/01/17,Fukui,13,1
2020/01/17,Yamanashi,13,1
2020/01/17,Nagano,13,1
2020/01/17,Gifu,13,1
2020/01/17,Shizuoka,13,1
2020/01/17,Aichi,13,1
2020/01/17,Mie,13,1
2020/01/17,Shiga,13,1
2020/01/17,Kyoto,13,1
2020/01/17,Osaka,13,1
2020/01/17,Hyogo,13,1
2020/01/17,Nara,13,1
2020/01/17,Wakayama,13,1
2020/01/17,Tottori,13,1
2020/01/17,Shimane,13,1
2020/01/17,Okayama,13,1
2020/01/17,Hiroshima,13,1
2020/01/17,Yamaguchi,13,1
2020/01/17,Tokushima,13,1
2020/01/17,Kagawa,13,1
2020/01/17,Ehime,13,1
2020/01/17,Kochi,13,1
2020/01/17,Fukuoka,13,1
2020/01/17,Saga,13,1
2020/01/17,Nagasaki,13,1
2020/01/17,Kumamoto,13,1
2020/01/17,Oita,13,1
2020/01/17,Miyazaki,13,1
2020/01/17,Kagoshima,13,1
2020/01/17,Okinawa,13,1
2020/01/18,ALL,13,1
2020/01/18,Hokkaido,13,1
2020/01/18,Aomori,13,1
2020/01/18,Iwate,13,1
2020/01/18,Miyagi,13,1
2020/01/18,Akita,13,1
2020/01/18,Yamagata,13,1
2020/01/18,Fukushima,13,1
2020/01/18,Ibaraki,13,1
2020/01/18,Tochigi,13,1
2020/01/18,Gunma,13,1
2020/01/18,Saitama,13,1
2020/01/18,Chiba,13,1
2020/01/18,Tokyo,13,1
2020/01/18,Kanagawa,13,1
2020/01/18,Niigata,13,1
2020/01/18,Toyama,13,1
2020/01/18,Ishikawa,13,1
2020/01/18,Fukui,13,1
2020/01/18,Yamanashi,13,1
2020/01/18,Nagano,13,1
2020/01/18,Gifu,13,1
2020/01/18,Shizuoka,13,1
2020/01/18,Aichi,13,1
2020/01/18,Mie,13,1
2020/01/18,Shiga,13,1
2020/01/18,Kyoto,13,1
2020/01/18,Osaka,13,1
2020/01/18,Hyogo,13,1
2020/01/18,Nara,13,1
2020/01/18,Wakayama,13,1
2020/01/18,Tottori,13,1
2020/01/18,Shimane,13,1
2020/01/18,Okayama,13,1
2020/01/18,Hiroshima,13,1
2020/01/18,Yamaguchi,13,1
2020/01/18,Tokushima,13,1
2020/01/18,Kagawa,13,1
2020/01/18,Ehime,13,1
2020/01/18,Kochi,13,1
2020/01/18,Fukuoka,13,1
2020/01/18,Saga,13,1
2020/01/18,Nagasaki,13,1
2020/01/18,Kumamoto,13,1
2020/01/18,Oita,13,1
2020/01/18,Miyazaki,13,1
2020/01/18,Kagoshima,13,1
2020/01/18,Okinawa,13,1
2020/01/19,ALL,13,1
2020/01/19,Hokkaido,13,1
2020/01/19,Aomori,13,1
2020/01/19,Iwate,13,1
2020/01/19,Miyagi,13,1
2020/01/19,Akita,13,1
2020/01/19,Yamagata,13,1
2020/01/19,Fukushima,13,1
2020/01/19,Ibaraki,13,1
2020/01/19,Tochigi,13,1
2020/01/19,Gunma,13,1
2020/01/19,Saitama,13,1
2020/01/19,Chiba,13,1
2020/01/19,Tokyo,13,1
2020/01/19,Kanagawa,13,1
2020/01/19,Niigata,13,1
2020/01/19,Toyama,13,1
2020/01/19,Ishikawa,13,1
2020/01/19,Fukui,13,1
2020/01/19,Yamanashi,13,1
2020/01/19,Nagano,13,1
